iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,human_development_index
OWID_AFR,,Africa,2021/1/1,2788203,27749,23359.429,66126,658,595.857,,,,,,,,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/2,2811093,22890,23574.714,66641,515,609.571,,,,,,,,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/3,2833088,21995,24049,67246,605,634.286,,,,,,,,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/4,2854863,21775,24988.429,67930,684,654.143,,,,,,,,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/5,2881708,26845,25948,68751,821,669,,,,,,,,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/6,2917497,35789,26690.286,69861,1110,727.429,,,,,,,,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/7,2952934,35437,27497.143,70550,689,726,,,,,,,,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/8,2989374,36440,28738.714,71460,910,762,,,,,,,,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/9,3024446,35072,30479,72117,657,782.286,0,0,,,,,,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/10,3056084,31638,31856.571,72711,594,780.714,,,,,,500,500,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/11,3084082,27998,32745.571,73392,681,780.286,,,,,,500,500,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/12,3110152,26070,32634.857,74467,1075,816.571,,,,,,500,500,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/13,3144213,34061,32388,75688,1221,832.429,2000,2000,,,,500,500,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/14,3178460,34247,32218,76741,1053,884.429,,,,,,600,600,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/15,3210018,31558,31520.571,77646,905,883.714,4000,4000,,,,667,667,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/16,3237546,27528,30442.857,78308,662,884.429,7000,7000,,,3000,1000,1000,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/17,3264174,26628,29727.143,78906,598,885,,,,,,1118,1118,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/18,3286590,22416,28929.714,79632,726,891.429,,,,,,1236,1236,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/19,3310074,23484,28560.286,80834,1202,909.571,10976,10976,,,,1354,1354,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/20,3338410,28336,27742.429,81756,922,866.857,13163,13163,,,2187,1595,1595,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/21,3366360,27950,26842.857,82782,1026,863,,,,,,1718,1718,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/22,3392340,25980,26046,83755,973,872.714,16890,16890,,,,1841,1841,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/23,3419704,27364,26022.571,84537,782,889.857,18353,18353,,,1463,1622,1622,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/24,3439885,20181,25101.571,85184,647,896.857,18353,18353,,,0,1433,1433,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/25,3456519,16634,24275.571,85955,771,903.286,19889,19889,,,1536,1463,1463,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/26,3475126,18607,23578.857,86938,983,872,22712,22712,,,2823,1677,1677,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/27,3495987,20861,22511,87989,1051,890.429,25587,25587,,,2875,1775,1775,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/28,3516765,20778,21486.429,88985,996,886.143,28779,28779,,,3192,1965,1965,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/29,3535971,19206,20518.714,89831,846,868,30861,30861,,,2082,1996,1996,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/30,3553839,17868,19162.143,90445,614,844,122206,32206,,,91345,14836,1979,,1373486472,,,,,,
OWID_AFR,,Africa,2021/1/31,3569601,15762,18530.857,90970,525,826.571,158206,32206,,,36000,19979,1979,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/1,3582291,12690,17967.429,91479,509,789.143,236712,36631,,,78506,30975,2392,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/2,3597115,14824,17427,92363,884,775,295127,37836,,,58415,38916,2161,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/3,3612577,15462,16655.714,93073,710,726.286,347149,38746,5,,52022,45937,1880,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/4,3629043,16466,16039.714,93640,567,665,390474,38746,5,,43325,51671,1424,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/5,3644975,15932,15572,94187,547,622.286,446986,38746,5,,56512,59446,1126,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/6,3658315,13340,14925.143,94734,547,612.714,504800,39248,1586,,57814,54656,1006,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/7,3670256,11941,14379.286,95091,357,588.714,,,,,,55849,1015,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/8,3681607,11351,14188,95535,444,579.429,593502,39373,3980,,,50970,392,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/9,3692899,11292,13683.429,96234,699,553,661263,39382,6700,,67761,52305,221,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/10,3706026,13127,13349.857,96770,536,528.143,795836,39385,10335,,134573,64098,91,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/11,3717944,11918,12700.143,97265,495,517.857,908796,39611,13867,,112960,74046,124,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/12,3731845,13901,12410,97830,565,520.429,1165581,39611,13867,,256785,102656,124,,1373486472,,,,,,
OWID_AFR,,Africa,2021/2/13,3742776,10931,12065.857,98181,351,492.429,1446178,43458,14181,,280597,134483,601,,1373486472,,,,,,
